anio,categoria_ges,categoria,fase_ges,fase,ronda_fase,nivel_fase,zona_fase,grupo_ges,grupo_nivel,grupo_zona,grupo_grupo
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,FINAL FOUR 3,Desconocida,Desconocida,Desconocido,Desconocida,OESTE/NORTE-CENTTRO/SUR,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,FINAL FOUR 2,Desconocida,Desconocida,Desconocido,Desconocida,NORTE/OESTE.SUR/CENTRO,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,INTERCONFERENCIAS,Desconocida,Desconocida,Desconocido,Desconocida,INTERCONFERENCIA A,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,INTERCONFERENCIAS,Desconocida,Desconocida,Desconocido,Desconocida,INTERCONFERENCIA B,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,TRIANGULAR FINAL,Desconocida,Desconocida,Desconocido,Desconocida,SUR ABC 2,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,FINAL FOUR 2,Desconocida,Desconocida,Desconocido,Desconocida,NORTE/AB-OESTE AB,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,FINAL FOUR 1,Desconocida,Desconocida,Desconocido,Desconocida,FINAL FOUR 1 OESTE/NORTE - SUR/CENTRO,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,NIVEL SUR 2C,Desconocida,Desconocida,Desconocido,Desconocida,SUR 2C,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,NIVEL SUR 2B,Desconocida,Desconocida,Desconocido,Desconocida,ÚNICO,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,NIVEL SUR 2A,Desconocida,Desconocida,Desconocido,Desconocida,SUR 2A,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,NIVEL OESTE 2B,Desconocida,Desconocida,Desconocido,Desconocida,OESTE 2B,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,NIVEL OESTE 2A,Desconocida,Desconocida,Desconocido,Desconocida,OESTE 2A,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,NIVEL NORTE 2B,Desconocida,Desconocida,Desconocido,Desconocida,NORTE 2B,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,NIVEL NORTE 2A,Desconocida,Desconocida,Desconocido,Desconocida,NORTE 2A,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,NIVEL 3,Desconocida,Desconocida,Desconocido,Desconocida,SUR 3,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,NIVEL 3,Desconocida,Desconocida,Desconocido,Desconocida,OESTE 3,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,NIVEL 3,Desconocida,Desconocida,Desconocido,Desconocida,NORTE 3,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,NIVEL 3,Desconocida,Desconocida,Desconocido,Desconocida,CENTRO 3,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,NIVEL 2,Desconocida,Desconocida,Desconocido,Desconocida,CENTRO 2,NIVELACION,Desconocido,Desconocido
2025,LIGA PROXIMO MASCULINO,LIGA PROXIMO MASCULINO,NIVEL 1,Desconocida,Desconocida,Desconocido,Desconocida,OESTE 1,NIVELACION,Desconocido,Desconocido
